,Start,Target,StartLatitude,TargetLatitude,StartLongitude,TargetLongitude,Distance
119,"Aberdeen, Scotland","Zrich, Switzerland",57.15,47.35,-2.15,8.516666666666667,1308.0649108752077
120,"Adelaide, Australia","Aberdeen, Scotland",-34.916666666666664,57.15,138.6,-2.15,16183.67640379468
121,"Adelaide, Australia","Adelaide, Australia",-34.916666666666664,-34.916666666666664,138.6,138.6,0.0
122,"Adelaide, Australia","Algiers, Algeria",-34.916666666666664,36.833333333333336,138.6,3.0,16045.766905897988
123,"Adelaide, Australia","Amsterdam, Netherlands",-34.916666666666664,52.36666666666667,138.6,4.883333333333333,15901.250282687815
124,"Adelaide, Australia","Ankara, Turkey",-34.916666666666664,39.916666666666664,138.6,32.916666666666664,13612.732892419608
125,"Adelaide, Australia","Asuncin, Paraguay",-34.916666666666664,-25.25,138.6,-57.666666666666664,13129.12700780216
126,"Adelaide, Australia","Athens, Greece",-34.916666666666664,37.96666666666667,138.6,23.716666666666665,14296.585732245718
127,"Adelaide, Australia","Auckland, New Zealand",-34.916666666666664,-36.86666666666667,138.6,174.75,3251.5951803601056
128,"Adelaide, Australia","Bangkok, Thailand",-34.916666666666664,13.75,138.6,100.5,6722.576826600686
129,"Adelaide, Australia","Barcelona, Spain",-34.916666666666664,41.38333333333333,138.6,2.15,16179.992789564241
130,"Adelaide, Australia","Beijing, China",-34.916666666666664,39.916666666666664,138.6,116.41666666666667,8593.226694719102
131,"Adelaide, Australia","Belm, Brazil",-34.916666666666664,-1.4666666666666668,138.6,-48.483333333333334,15910.14213186146
132,"Adelaide, Australia","Belfast, Northern Ireland",-34.916666666666664,54.61666666666667,138.6,-5.933333333333334,16514.614911663943
133,"Adelaide, Australia","Belgrade, Serbia",-34.916666666666664,44.86666666666667,138.6,20.533333333333335,14740.539067744245
134,"Adelaide, Australia","Berlin, Germany",-34.916666666666664,52.5,138.6,13.416666666666666,15322.93390928184
135,"Adelaide, Australia","Birmingham, England",-34.916666666666664,52.416666666666664,138.6,-1.9166666666666665,16350.604149693643
136,"Adelaide, Australia","Bogot, Colombia",-34.916666666666664,4.533333333333333,138.6,-74.25,15248.841527589675
137,"Adelaide, Australia","Bombay, India",-34.916666666666664,19.0,138.6,72.8,9156.40109590118
138,"Adelaide, Australia","Bordeaux, France",-34.916666666666664,44.833333333333336,138.6,-0.5166666666666667,16396.996085344355
139,"Adelaide, Australia","Bremen, Germany",-34.916666666666664,53.083333333333336,138.6,8.816666666666666,15626.716755005154
140,"Adelaide, Australia","Brisbane, Australia",-34.916666666666664,-27.483333333333334,138.6,153.13333333333333,1609.1239329595255
141,"Adelaide, Australia","Bristol, England",-34.916666666666664,51.46666666666667,138.6,-2.5833333333333335,16424.15792336607
142,"Adelaide, Australia","Brussels, Belgium",-34.916666666666664,50.86666666666667,138.6,4.366666666666666,15962.734974182351
143,"Adelaide, Australia","Bucharest, Romania",-34.916666666666664,44.416666666666664,138.6,26.116666666666667,14296.98553381967
144,"Adelaide, Australia","Budapest, Hungary",-34.916666666666664,47.5,138.6,19.083333333333332,14894.924739186705
145,"Adelaide, Australia","Buenos Aires, Argentina",-34.916666666666664,-34.583333333333336,138.6,-58.36666666666667,12111.490518723294
146,"Adelaide, Australia","Cairo, Egypt",-34.916666666666664,30.033333333333335,138.6,31.35,13317.005900548655
147,"Adelaide, Australia","Calcutta, India",-34.916666666666664,22.566666666666666,138.6,88.4,8280.282050765749
148,"Adelaide, Australia","Canton, China",-34.916666666666664,23.116666666666667,138.6,113.25,6958.664818240207
149,"Adelaide, Australia","Cape Town, South Africa",-34.916666666666664,-33.916666666666664,138.6,18.366666666666667,10176.853605169674
150,"Adelaide, Australia","Caracas, Venezuela",-34.916666666666664,10.466666666666667,138.6,-67.03333333333333,16263.380856643695
151,"Adelaide, Australia","Cayenne, French Guiana",-34.916666666666664,4.816666666666666,138.6,-52.3,16490.016258873144
152,"Adelaide, Australia","Chihuahua, Mexico",-34.916666666666664,28.616666666666667,138.6,-106.08333333333333,13963.172609443494
153,"Adelaide, Australia","Chongqing, China",-34.916666666666664,29.766666666666666,138.6,106.56666666666666,7909.702248852692
154,"Adelaide, Australia","Copenhagen, Denmark",-34.916666666666664,55.666666666666664,138.6,12.566666666666666,15350.124025640092
155,"Adelaide, Australia","Crdoba, Argentina",-34.916666666666664,-31.466666666666665,138.6,-64.16666666666667,12281.677088230867
156,"Adelaide, Australia","Dakar, Senegal",-34.916666666666664,14.666666666666666,138.6,-17.466666666666665,16735.95502549489
157,"Adelaide, Australia","Darwin, Australia",-34.916666666666664,-12.466666666666667,138.6,130.85,2606.787625294981
158,"Adelaide, Australia","Djibouti, Djibouti",-34.916666666666664,11.5,138.6,43.05,11238.439416622978
159,"Adelaide, Australia","Dublin, Ireland",-34.916666666666664,53.333333333333336,138.6,-6.25,16590.924340450398
160,"Adelaide, Australia","Durban, South Africa",-34.916666666666664,-29.883333333333333,138.6,30.883333333333333,9587.803869404323
161,"Adelaide, Australia","Edinburgh, Scotland",-34.916666666666664,55.916666666666664,138.6,-3.1666666666666665,16295.399541223967
162,"Adelaide, Australia","Frankfurt, Germany",-34.916666666666664,50.11666666666667,138.6,8.683333333333334,15666.65398498161
163,"Adelaide, Australia","Georgetown, Guyana",-34.916666666666664,6.75,138.6,-58.25,16445.233514521053
164,"Adelaide, Australia","Glasgow, Scotland",-34.916666666666664,55.833333333333336,138.6,-4.25,16361.255683089228
165,"Adelaide, Australia","Guatemala City, Guatemala",-34.916666666666664,14.616666666666667,138.6,-90.51666666666667,14638.329417677818
166,"Adelaide, Australia","Guayaquil, Ecuador",-34.916666666666664,-2.1666666666666665,138.6,-79.93333333333334,14274.92432498021
167,"Adelaide, Australia","Hamburg, Germany",-34.916666666666664,53.55,138.6,10.033333333333333,15540.031067029066
168,"Adelaide, Australia","Hammerfest, Norway",-34.916666666666664,70.63333333333334,138.6,23.633333333333333,14538.17918494677
169,"Adelaide, Australia","Havana, Cuba",-34.916666666666664,23.133333333333333,138.6,-82.38333333333334,15858.46117986173
170,"Adelaide, Australia","Helsinki, Finland",-34.916666666666664,60.166666666666664,138.6,25.0,14584.54106908406
171,"Adelaide, Australia","Hobart, Tasmania",-34.916666666666664,-42.86666666666667,138.6,147.31666666666666,1160.8898341186284
172,"Adelaide, Australia","Hong Kong, China",-34.916666666666664,22.333333333333332,138.6,114.18333333333334,6841.296519827826
173,"Adelaide, Australia","Iquique, Chile",-34.916666666666664,-20.166666666666668,138.6,-70.11666666666666,13199.370887707997
174,"Adelaide, Australia","Irkutsk, Russia",-34.916666666666664,52.5,138.6,104.33333333333333,10240.246157716403
175,"Adelaide, Australia","Jakarta, Indonesia",-34.916666666666664,-6.266666666666667,138.6,106.8,4548.415226583298
176,"Adelaide, Australia","Johannesburg, South Africa",-34.916666666666664,-26.2,138.6,28.066666666666666,10060.326884963344
177,"Adelaide, Australia","Kingston, Jamaica",-34.916666666666664,17.983333333333334,138.6,-76.81666666666666,16054.772636296157
178,"Adelaide, Australia","Kinshasa, Congo",-34.916666666666664,-4.3,138.6,15.283333333333333,12685.107949881127
179,"Adelaide, Australia","Kuala Lumpur, Malaysia",-34.916666666666664,3.1333333333333333,138.6,101.7,5708.431319093263
180,"Adelaide, Australia","La Paz, Bolivia",-34.916666666666664,-16.45,138.6,-68.36666666666666,13650.106419534395
181,"Adelaide, Australia","Leeds, England",-34.916666666666664,53.75,138.6,-1.5,16279.739798564546
182,"Adelaide, Australia","Lima, Peru",-34.916666666666664,-12.0,138.6,-77.03333333333333,13603.946365807104
183,"Adelaide, Australia","Lisbon, Portugal",-34.916666666666664,38.733333333333334,138.6,-9.15,17131.380052190114
184,"Adelaide, Australia","Liverpool, England",-34.916666666666664,53.416666666666664,138.6,-3.0,16385.728260330183
185,"Adelaide, Australia","London, England",-34.916666666666664,51.53333333333333,138.6,-0.08333333333333333,16254.317450573684
186,"Adelaide, Australia","Lyons, France",-34.916666666666664,45.75,138.6,4.833333333333333,15973.684573418252
187,"Adelaide, Australia","Madrid, Spain",-34.916666666666664,40.43333333333333,138.6,-3.7,16667.851870803755
188,"Adelaide, Australia","Manchester, England",-34.916666666666664,53.5,138.6,-2.25,16335.59029136921
189,"Adelaide, Australia","Manila, Philippines",-34.916666666666664,14.583333333333334,138.6,120.95,5787.241466940099
190,"Adelaide, Australia","Marseilles, France",-34.916666666666664,43.333333333333336,138.6,5.333333333333333,15929.70699363393
191,"Adelaide, Australia","Mazatln, Mexico",-34.916666666666664,23.2,138.6,-106.41666666666667,13671.07447862707
192,"Adelaide, Australia","Mecca, Saudi Arabia",-34.916666666666664,21.483333333333334,138.6,39.75,12127.12896341257
193,"Adelaide, Australia","Melbourne, Australia",-34.916666666666664,-37.78333333333333,138.6,144.96666666666667,653.8330591177181
194,"Adelaide, Australia","Mexico City, Mexico",-34.916666666666664,19.433333333333334,138.6,-99.11666666666666,14138.202652975253
195,"Adelaide, Australia","Milan, Italy",-34.916666666666664,45.45,138.6,9.166666666666666,15635.204083479759
196,"Adelaide, Australia","Montevideo, Uruguay",-34.916666666666664,-34.88333333333333,138.6,-56.166666666666664,12126.761177745428
197,"Adelaide, Australia","Moscow, Russia",-34.916666666666664,55.75,138.6,37.6,13788.086785460766
198,"Adelaide, Australia","Munich, Germany",-34.916666666666664,48.13333333333333,138.6,11.583333333333334,15459.89335442079
199,"Adelaide, Australia","Nagasaki, Japan",-34.916666666666664,32.8,138.6,129.95,7550.201660841501
200,"Adelaide, Australia","Nagoya, Japan",-34.916666666666664,35.11666666666667,138.6,136.93333333333334,7754.821613315981
201,"Adelaide, Australia","Nairobi, Kenya",-34.916666666666664,-1.4166666666666667,138.6,36.916666666666664,10987.301483907197
202,"Adelaide, Australia","Nanjing (Nanking), China",-34.916666666666664,32.05,138.6,118.88333333333334,7694.339433687216
203,"Adelaide, Australia","Naples, Italy",-34.916666666666664,40.833333333333336,138.6,14.25,15164.684634468018
204,"Adelaide, Australia","New Delhi, India",-34.916666666666664,28.583333333333332,138.6,77.2,9538.193775670577
205,"Adelaide, Australia","Newcastle-on-Tyne, England",-34.916666666666664,54.96666666666667,138.6,-1.6166666666666667,16242.809329260106
206,"Adelaide, Australia","Odessa, Ukraine",-34.916666666666664,46.45,138.6,30.8,13998.354465338412
207,"Adelaide, Australia","Osaka, Japan",-34.916666666666664,34.53333333333333,138.6,135.5,7694.944814079294
208,"Adelaide, Australia","Oslo, Norway",-34.916666666666664,59.95,138.6,10.7,15376.904624658227
209,"Adelaide, Australia","Panama City, Panama",-34.916666666666664,8.966666666666667,138.6,-79.53333333333333,15195.40150857475
210,"Adelaide, Australia","Paramaribo, Suriname",-34.916666666666664,5.75,138.6,-55.25,16479.209111537686
211,"Adelaide, Australia","Paris, France",-34.916666666666664,48.8,138.6,2.3333333333333335,16138.619833441142
212,"Adelaide, Australia","Perth, Australia",-34.916666666666664,-31.95,138.6,115.86666666666666,2134.7661191843254
213,"Adelaide, Australia","Plymouth, England",-34.916666666666664,50.416666666666664,138.6,-4.083333333333333,16557.463503261217
214,"Adelaide, Australia","Port Moresby, Papua New Guinea",-34.916666666666664,-9.416666666666666,138.6,147.13333333333333,2954.6928505244055
215,"Adelaide, Australia","Prague, Czech Republic",-34.916666666666664,50.083333333333336,138.6,14.433333333333334,15255.552420274926
216,"Adelaide, Australia","Rangoon, Myanmar",-34.916666666666664,16.833333333333332,138.6,96.0,7284.831738349563
217,"Adelaide, Australia","Reykjavk, Iceland",-34.916666666666664,64.06666666666666,138.6,-21.966666666666665,16504.398384676322
218,"Adelaide, Australia","Rio de Janeiro, Brazil",-34.916666666666664,-22.95,138.6,-43.2,13596.78567819509
219,"Adelaide, Australia","Rome, Italy",-34.916666666666664,41.9,138.6,12.45,15333.069237579839
